feature,importance
MOM_SysTerminal_rolling_quarter_min_season_ratio_rolling_year.1,0
MOM_Direction_rolling_quarter_min_season_ratio_rolling_year,0
MOM_FlightNumberNormalized_rolling_quarter_max_season_ratio_rolling_year.4,0
MOM_airlineOACICode_rolling_quarter_max_season_ratio_rolling_year.3,0
MOM_FlightNumberNormalized_rolling_month_median_month_ratio_rolling_quarter.4,0
MOM_airlineOACICode_rolling_month_median_month_ratio_rolling_quarter.3,0
MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year.4,0
MOM_FlightNumberNormalized_rolling_month_std_month_ratio_rolling_quarter.4,0
MOM_airlineOACICode_rolling_month_min_month_ratio_rolling_quarter.3,0
MOM_IdAircraftType_rolling_month_min_month_ratio_rolling_quarter.2,0
MOM_SysTerminal_rolling_month_min_month_ratio_rolling_quarter.1,0
MOM_Direction_rolling_month_min_month_ratio_rolling_quarter,0
MOM_FlightNumberNormalized_rolling_month_min_month_ratio_rolling_quarter.4,0
MOM_airlineOACICode_lag91_win20_std_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_lag91_win20_std_year_over_year_lag365_win28.4,0
MOM_SysTerminal_lag91_win20_min_year_over_year_lag365_win28.1,0
MOM_airlineOACICode_lag30_win14_median_short_vs_mid_hist_lag91_win20.3,0
MOM_FlightNumberNormalized_lag30_win14_median_short_vs_mid_hist_lag91_win20.4,0
MOM_airlineOACICode_rolling_week_max_accel_rolling_month.3,0
MOM_FlightNumberNormalized_lag30_win14_std_short_vs_mid_hist_lag91_win20.4,0
Direction_lag30_win14_min,0
Direction_trend_91D_vs_182D_min,0
Direction_trend_182D_vs_365D_min,0
Direction_trend_14D_vs_30D_min,0
MOM_airlineOACICode_lag30_win14_min_short_vs_mid_hist_lag91_win20.3,0
MOM_FlightNumberNormalized_rolling_week_min_accel_rolling_month.4,0
Direction_trend_7D_vs_14D_min,0
MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month.4,0
MOM_Direction_rolling_week_min_accel_rolling_month,0
MOM_FlightNumberNormalized_lag30_win14_min_short_vs_mid_hist_lag91_win20.4,0
MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20.4,0
MOM_airlineOACICode_lag30_win14_mean_short_vs_mid_hist_lag91_win20.3,0
MOM_airlineOACICode_lag91_win20_median_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter.4,0
MOM_FlightNumberNormalized_lag91_win20_median_year_over_year_lag365_win28.4,0
MOM_airlineOACICode_rolling_month_mean_month_ratio_rolling_quarter.3,0
MOM_FlightNumberNormalized_lag91_win20_median_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_lag91_win20_std_year_over_year_lag365_win28.3,0
MOM_airlineOACICode_lag91_win20_max_year_over_year_lag365_win28.2,0
MOM_FlightNumberNormalized_lag91_win20_max_year_over_year_lag365_win28.3,0
Direction_lag182_win20_min,0
MOM_Direction_lag30_win14_min_short_vs_mid_hist_lag91_win20,0
MOM_FlightNumberNormalized_lag30_win14_max_short_vs_mid_hist_lag91_win20.4,0
MOM_FlightNumberNormalized_rolling_week_max_accel_rolling_month.4,0
MOM_IdAircraftType_rolling_month_min_month_ratio_rolling_quarter.1,0
MOM_airlineOACICode_rolling_month_min_month_ratio_rolling_quarter.2,0
MOM_FlightNumberNormalized_rolling_quarter_min_season_ratio_rolling_year.3,0
MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28.3,0
MOM_airlineOACICode_rolling_quarter_min_season_ratio_rolling_year.2,0
MOM_FlightNumberNormalized_rolling_month_min_month_ratio_rolling_quarter.3,0
IdADL,0
IdMovement,0
